id,listing_url,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
5456,https://www.airbnb.com/rooms/5456,1.0,2.0,$176.00,630,4.84,4.88,4.79
5769,https://www.airbnb.com/rooms/5769,1.0,1.0,$42.00,275,4.9,4.9,4.92
6413,https://www.airbnb.com/rooms/6413,,1.0,$109.00,122,4.97,4.99,4.93
6448,https://www.airbnb.com/rooms/6448,1.0,2.0,$240.00,295,4.97,4.97,4.9
8502,https://www.airbnb.com/rooms/8502,1.0,1.0,$85.00,48,4.53,4.49,4.57
13035,https://www.airbnb.com/rooms/13035,2.0,2.0,$160.00,17,5.0,4.94,4.94
18258,https://www.airbnb.com/rooms/18258,3.0,2.0,$171.00,2,5.0,5.0,4.5
22828,https://www.airbnb.com/rooms/22828,1.0,1.0,$65.00,50,4.94,5.0,4.86
22982,https://www.airbnb.com/rooms/22982,2.0,2.0,$350.00,166,4.91,4.93,4.82
23496,https://www.airbnb.com/rooms/23496,3.0,4.0,$200.00,0,,,
25028,https://www.airbnb.com/rooms/25028,2.0,2.0,$221.00,35,4.94,5.0,4.93
40285,https://www.airbnb.com/rooms/40285,2.0,2.0,$450.00,37,4.92,4.94,4.8
47572,https://www.airbnb.com/rooms/47572,1.0,1.0,$43.00,7,5.0,5.0,5.0
50318,https://www.airbnb.com/rooms/50318,2.0,3.0,$136.00,33,4.88,4.72,4.79
57187,https://www.airbnb.com/rooms/57187,1.0,3.0,$109.00,955,4.91,4.94,4.82
69303,https://www.airbnb.com/rooms/69303,1.0,1.0,$181.00,213,4.97,4.96,4.82
69810,https://www.airbnb.com/rooms/69810,1.0,1.0,$134.00,446,4.98,4.98,4.95
70258,https://www.airbnb.com/rooms/70258,1.0,1.0,$239.00,36,4.94,4.97,4.72
70812,https://www.airbnb.com/rooms/70812,1.0,3.0,$165.00,175,4.89,4.94,4.82
72833,https://www.airbnb.com/rooms/72833,1.0,1.0,$132.00,412,4.91,4.92,4.91
73005,https://www.airbnb.com/rooms/73005,2.0,4.0,$297.00,44,4.89,4.88,4.81
73289,https://www.airbnb.com/rooms/73289,2.0,2.0,$111.00,59,4.88,4.89,4.91
74318,https://www.airbnb.com/rooms/74318,1.0,1.0,$194.00,251,4.82,4.86,4.8
75957,https://www.airbnb.com/rooms/75957,1.0,2.0,$163.00,424,4.97,4.98,4.94
76501,https://www.airbnb.com/rooms/76501,1.0,2.0,$144.00,222,4.95,4.95,4.95
76911,https://www.airbnb.com/rooms/76911,5.0,14.0,$893.00,196,4.95,4.95,4.89
76925,https://www.airbnb.com/rooms/76925,3.0,5.0,$400.00,16,4.94,4.81,4.63
77347,https://www.airbnb.com/rooms/77347,1.0,1.0,$104.00,0,,,
77639,https://www.airbnb.com/rooms/77639,2.0,2.0,$179.00,53,4.69,4.69,4.67
78035,https://www.airbnb.com/rooms/78035,4.0,4.0,$1143.00,91,4.99,4.98,4.78
78127,https://www.airbnb.com/rooms/78127,3.0,4.0,$240.00,6,4.2,4.17,4.0
78422,https://www.airbnb.com/rooms/78422,3.0,4.0,$79.00,11,4.82,5.0,4.91
78731,https://www.airbnb.com/rooms/78731,1.0,1.0,$120.00,215,4.98,4.97,4.9
78884,https://www.airbnb.com/rooms/78884,,2.0,$148.00,190,4.77,4.79,4.75
79100,https://www.airbnb.com/rooms/79100,1.0,1.0,$127.00,38,4.97,4.95,4.86
79768,https://www.airbnb.com/rooms/79768,2.0,3.0,$225.00,34,4.71,4.72,4.52
82033,https://www.airbnb.com/rooms/82033,3.0,4.0,$357.00,4,4.25,4.25,5.0
83643,https://www.airbnb.com/rooms/83643,1.0,1.0,$77.00,259,4.96,4.96,4.92
84771,https://www.airbnb.com/rooms/84771,1.0,1.0,$81.00,16,4.67,4.25,4.58
89475,https://www.airbnb.com/rooms/89475,4.0,5.0,$341.00,118,4.85,4.89,4.91
90898,https://www.airbnb.com/rooms/90898,2.0,3.0,$203.00,112,4.72,4.78,4.61
90957,https://www.airbnb.com/rooms/90957,1.0,2.0,$84.00,5,4.6,4.75,4.0
104099,https://www.airbnb.com/rooms/104099,1.0,2.0,$137.00,236,4.88,4.97,4.85
104386,https://www.airbnb.com/rooms/104386,2.0,3.0,$150.00,138,4.97,4.98,4.85
104394,https://www.airbnb.com/rooms/104394,1.0,1.0,$56.00,74,4.61,4.74,4.73
113779,https://www.airbnb.com/rooms/113779,1.0,1.0,$127.00,98,4.87,4.88,4.71
116014,https://www.airbnb.com/rooms/116014,3.0,3.0,$259.00,2,5.0,5.0,5.0
128326,https://www.airbnb.com/rooms/128326,3.0,3.0,$289.00,83,4.94,4.9,4.83
140474,https://www.airbnb.com/rooms/140474,2.0,3.0,$249.00,87,4.89,4.84,4.86
140504,https://www.airbnb.com/rooms/140504,1.0,1.0,$218.00,95,4.91,4.95,4.81
