id,price,bedrooms,review_scores_rating,number_of_reviews
5456,$176.00,1.0,4.84,630
5769,$42.00,1.0,4.9,275
6413,$109.00,NULL,4.97,122
6448,$240.00,1.0,4.97,295
8502,$85.00,1.0,4.53,48
13035,$160.00,2.0,5.0,17
18258,$171.00,3.0,5.0,2
22828,$65.00,1.0,4.94,50
22982,$350.00,2.0,4.91,166
23496,$200.00,3.0,NULL,0
25028,$221.00,2.0,4.94,35
40285,$450.00,2.0,4.92,37
47572,$43.00,1.0,5.0,7
50318,$136.00,2.0,4.88,33
57187,$109.00,1.0,4.91,955
69303,$181.00,1.0,4.97,213
69810,$134.00,1.0,4.98,446
70258,$239.00,1.0,4.94,36
70812,$165.00,1.0,4.89,175
72833,$132.00,1.0,4.91,412
73005,$297.00,2.0,4.89,44
73289,$111.00,2.0,4.88,59
74318,$194.00,1.0,4.82,251
75957,$163.00,1.0,4.97,424
76501,$144.00,1.0,4.95,222
76911,$893.00,5.0,4.95,196
76925,$400.00,3.0,4.94,16
77347,$104.00,1.0,NULL,0
77639,$179.00,2.0,4.69,53
78035,$1143.00,4.0,4.99,91
78127,$240.00,3.0,4.2,6
78422,$79.00,3.0,4.82,11
78731,$120.00,1.0,4.98,215
78884,$148.00,NULL,4.77,190
79100,$127.00,1.0,4.97,38
79768,$225.00,2.0,4.71,34
82033,$357.00,3.0,4.25,4
83643,$77.00,1.0,4.96,259
84771,$81.00,1.0,4.67,16
89475,$341.00,4.0,4.85,118
90898,$203.00,2.0,4.72,112
90957,$84.00,1.0,4.6,5
104099,$137.00,1.0,4.88,236
104386,$150.00,2.0,4.97,138
104394,$56.00,1.0,4.61,74
113779,$127.00,1.0,4.87,98
116014,$259.00,3.0,5.0,2
128326,$289.00,3.0,4.94,83
140474,$249.00,2.0,4.89,87
140504,$218.00,1.0,4.91,95
145210,$150.00,1.0,4.9,206
155359,$400.00,2.0,4.87,34
158398,$899.00,4.0,4.82,17
167459,$800.00,4.0,4.63,8
174828,$455.00,4.0,4.89,367
184853,$138.00,2.0,5.0,7
